Principal,Spending,Year
Government of China,42960016,2024
Government of Saudi Arabia,39456835,2024
Japan External Trade Organization,30521196,2024
Government of the Marshall Islands,25126868,2024
Government of Bermuda,21126515,2024
Government of Ireland,20184269,2024
"Government of Quebec, Canada",16992601,2024
Government of the United Arab Emirates,13566204,2024
Government of Bahamas,13540000,2024
Sing Tao News Corp,10289000,2024
Government of Liberia,234906422,2023
Government of Saudi Arabia,87382626,2023
Government of China,54176618,2023
Japan External Trade Organization,53499615,2023
Government of the Bahamas Ministry of Tourism,52611943,2023
Sing Tao News Corp Ltd,48380000,2023
Government of the Marshall Islands,45559300,2023
Government of Abu Dhabi,22788416,2023
Government of Bermuda,19600000,2023
Korea Trade-Investment Promotion Agency,16989081,2023
Government of the Bahamas Ministry of Tourism,47914000,2022
Government of the Marshall Islands,46111344,2022
Government of Liberia,44061975,2022
Government of China,40611860,2022
Japan External Trade Organization,34476211,2022
Sing Tao News Corp Ltd,26479000,2022
Government of Ireland,24346211,2022
Korea Trade-Investment Promotion Agency,23799746,2022
Government of Bermuda,20725575,2022
Government of the United Arab Emirates,20016851,2022
Government of China,56887761,2021
Barzan Holdings,34902946,2021
Japan External Trade Organization,34561759,2021
ANO TV-Novosti,31784884,2021
Government of the Marshall Islands,29839880,2021
Government of Liberia,28941086,2021
Government of the Bahamas,22871731,2021
Government of Bermuda,22273350,2021
Government of Saudi Arabia,19714594,2021
Korea Trade-investment Promotion Agency,18354203,2021
Government of China,50931312,2020
Barzan Holdings,42126834,2020
ANO TV-Novosti,35633744,2020
Government of the Bahamas,33413890,2020
Government of the Marshall Islands,33103506,2020
Government of Bermuda,23159481,2020
Japan External Trade Organization,16398522,2020
Government of the United Arab Emirates,16156563,2020
Korea Trade-investment Promotion Agency,12816337,2020
OCP SA,12706551,2020
Barzan Holdings,51464425,2019
Government of China,45189509,2019
ANO TV-Novosti,39536472,2019
Government of the Marshall Islands,35339973,2019
Government of Bermuda,34398262,2019
Japan External Trade Organization,29340588,2019
Government of Ireland,25111455,2019
Korea Trade-Investment Promotion Agency,23505926,2019
Government of the Bahamas,18800000,2019
Government of Saudi Arabia,16850267,2019
Government of the Marshall Islands,36827460,2018
Government of Israel,35318777,2018
Government of Bermuda,31788154,2018
Government of Saudi Arabia,30386077,2018
ANO TV-Novosti,28811918,2018
Japan External Trade Organization,21456800,2018
Government of the Bahamas,20699041,2018
Government of Ireland,19048706,2018
Korea Trade-Investment Promotion Agency,15704644,2018
Government of the Cayman Islands,14226565,2018